PassengerId,Survived
100000,0.19759893
100001,0.36273503
100002,0.7402991
100003,0.19362175
100004,0.36273503
100005,0.28816813
100006,0.7402991
100007,0.123126745
100008,0.36273503
100009,0.14034736
100010,0.24298418
100011,0.11708197
100012,0.21986508
100013,0.18000636
100014,0.36273503
100015,0.09970632
100016,0.3516537
100017,0.12657368
100018,0.10930395
100019,0.36273503
100020,0.10539347
100021,0.07072216
100022,0.155382
100023,0.2557364
100024,0.1493501
100025,0.2551923
100026,0.7402991
100027,0.7402991
100028,0.0034826696
100029,0.7402991
100030,0.23910663
100031,3.4926412e-11
100032,0.0008561015
100033,0.1281637
100034,0.1919702
100035,0.11938256
100036,0.36273503
100037,0.27398223
100038,0.26182342
100039,0.15615481
100040,0.36273503
100041,0.24364269
100042,0.099069744
100043,0.36273503
100044,0.36273503
100045,0.3330397
100046,0.7402991
100047,0.706403
100048,0.7402991
100049,0.7402991
100050,0.11868632
100051,0.7402991
100052,0.12358984
100053,0.1436047
100054,0.11492789
100055,0.21944657
100056,0.34062627
100057,0.35999477
100058,0.7402991
100059,0.22671759
100060,0.10099605
100061,0.2847137
100062,0.12022737
100063,0.10201937
100064,0.15303552
100065,0.12735054
100066,0.11922768
100067,0.13988921
100068,0.36273503
100069,0.36273503
100070,0.7402991
100071,0.19994405
100072,0.7402991
100073,0.121791124
100074,0.099923134
100075,0.10304406
100076,0.36273503
100077,0.7402991
100078,0.11561817
100079,0.01991734
100080,0.10654807
100081,0.36273503
100082,0.14263153
100083,0.013787657
100084,0.10162851
100085,0.7402991
100086,0.19771421
100087,0.1056405
100088,0.36273503
100089,0.14957604
100090,0.36273503
100091,0.24599421
100092,0.36273503
100093,0.7402991
100094,0.7402991
100095,0.15632486
100096,0.3142807
100097,0.7402991
100098,0.10136828
100099,0.074252695
100100,0.7402991
100101,0.2582183
100102,0.00043961406
100103,0.36273503
100104,0.101374894
100105,0.10068387
100106,0.7402991
100107,0.21941417
100108,0.11281723
100109,0.7402991
100110,0.18939945
100111,0.36273503
100112,0.36273503
100113,0.12560964
100114,0.12294391
100115,0.04127288
100116,0.14491987
100117,0.0964731
100118,0.2733857
100119,0.7402991
100120,0.7402991
100121,0.11560568
100122,0.17265868
100123,0.26628888
100124,0.7402991
100125,0.7402991
100126,0.36273503
100127,0.103351325
100128,0.7402991
100129,0.36273503
100130,0.106187195
100131,0.12050164
100132,0.17065519
100133,0.012663364
100134,0.7402991
100135,0.6885807
100136,0.32333836
100137,0.113300085
100138,0.09586215
